Grade,Subject,Chapter,Question No,Question,Correct Answer,Option A,Option B,Option C,Option D
9,PHY,2,15,What does the area under a speed-time graph represent?,Distance,Velocity,Distance,Time,Acceleration
9,PHY,2,16,Which graph shows constant speed?,Straight line distance-time,Curved distance-time,Straight line distance-time,Curved speed-time,Vertical speed-time
9,PHY,2,17,What is the unit of acceleration?,m/s²,m/s,m,km/h,m/s²
9,PHY,2,18,What is the approximate value of gravitational acceleration near Earth?,10 m/s²,9 m/s²,8 m/s²,9.8 m/s²,10 m/s²
9,PHY,2,19,What is the approximate value of gravitational acceleration near Earth?,10 m/s²,10 m/s²,8 m/s²,9 m/s²,9.8 m/s²
9,PHY,2,20,What does the area under a speed-time graph represent?,Distance,Mass,Velocity,Distance,Time
9,PHY,2,21,Which of the following is a scalar quantity?,Speed,Force,Displacement,Acceleration,Speed
9,PHY,2,22,How do you calculate average speed?,Total distance / Total time,Initial speed × Time,Total time / Total distance,Time × Velocity,Total distance / Total time
9,PHY,2,23,Which graph shows constant speed?,Straight line distance-time,Curved distance-time,Curved speed-time,Horizontal distance-time,Straight line distance-time
9,PHY,2,24,Which quantity has both magnitude and direction?,Velocity,Temperature,Distance,Velocity,Time
9,PHY,2,25,Which of the following shows non-uniform acceleration?,Rocket launch,Stationary object,Uniform speed car,Circular motion,Rocket launch
9,PHY,2,26,What is the unit of acceleration?,m/s²,m/s²,km/h,m/s,s
9,PHY,2,27,Which motion is an example of vibratory motion?,Drumhead vibration,Drumhead vibration,Car moving,Ball rolling,Swinging pendulum
9,PHY,2,28,Which motion is an example of vibratory motion?,Drumhead vibration,Rotating fan,Car moving,Drumhead vibration,Ball rolling
9,PHY,2,29,Which motion is an example of vibratory motion?,Drumhead vibration,Drumhead vibration,Car moving,Ball rolling,Rotating fan
9,PHY,2,30,What is the approximate value of gravitational acceleration near Earth?,10 m/s²,10 m/s²,8 m/s²,11 m/s²,9 m/s²
9,PHY,2,31,Which graph shows constant speed?,Straight line distance-time,Curved distance-time,Curved speed-time,Horizontal distance-time,Straight line distance-time
9,PHY,2,32,What does the area under a speed-time graph represent?,Distance,Mass,Time,Acceleration,Distance
9,PHY,2,33,Which of the following is a scalar quantity?,Speed,Force,Speed,Acceleration,Velocity
9,PHY,2,34,What does the area under a speed-time graph represent?,Distance,Time,Mass,Distance,Velocity
9,PHY,2,35,What is the approximate value of gravitational acceleration near Earth?,10 m/s²,10 m/s²,11 m/s²,9.8 m/s²,9 m/s²
9,PHY,2,36,Which quantity has both magnitude and direction?,Velocity,Mass,Velocity,Temperature,Time
9,PHY,2,37,Which quantity has both magnitude and direction?,Velocity,Distance,Mass,Time,Velocity
9,PHY,2,38,What is the approximate value of gravitational acceleration near Earth?,10 m/s²,8 m/s²,11 m/s²,10 m/s²,9.8 m/s²
9,PHY,2,39,Which of the following shows non-uniform acceleration?,Rocket launch,Uniform speed car,Rocket launch,Object in free fall,Circular motion
9,PHY,2,40,How do you calculate average speed?,Total distance / Total time,Total distance / Total time,Initial speed × Time,Time × Velocity,Distance × Acceleration
9,PHY,2,41,Which is an example of translatory motion?,Train on track,Pendulum swing,Spinning top,Train on track,Clock hand
9,PHY,2,42,How do you calculate average speed?,Total distance / Total time,Total time / Total distance,Initial speed × Time,Total distance / Total time,Distance × Acceleration
9,PHY,2,43,What is the unit of acceleration?,m/s²,s,km/h,m/s²,m
9,PHY,2,44,Which is an example of translatory motion?,Train on track,Pendulum swing,Tuning fork,Spinning top,Train on track
9,PHY,2,45,What is the unit of acceleration?,m/s²,m,m/s²,km/h,s
9,PHY,2,46,Which is an example of translatory motion?,Train on track,Train on track,Spinning top,Tuning fork,Clock hand
9,PHY,2,47,Which motion is an example of vibratory motion?,Drumhead vibration,Swinging pendulum,Drumhead vibration,Rotating fan,Ball rolling
9,PHY,2,48,Which quantity has both magnitude and direction?,Velocity,Distance,Velocity,Time,Temperature
9,PHY,2,49,Which is an example of translatory motion?,Train on track,Spinning top,Pendulum swing,Train on track,Tuning fork
9,PHY,2,50,How do you calculate average speed?,Total distance / Total time,Total time / Total distance,Initial speed × Time,Distance × Acceleration,Total distance / Total time
9,PHY,2,51,Which of the following is a scalar quantity?,Speed,Displacement,Force,Velocity,Speed
9,PHY,2,52,Which is an example of translatory motion?,Train on track,Train on track,Tuning fork,Pendulum swing,Spinning top
9,PHY,2,53,What does the area under a speed-time graph represent?,Distance,Velocity,Time,Acceleration,Distance
9,PHY,2,54,Which is an example of translatory motion?,Train on track,Spinning top,Clock hand,Train on track,Tuning fork
9,PHY,2,55,Which quantity has both magnitude and direction?,Velocity,Velocity,Time,Mass,Temperature
9,PHY,2,56,Which graph shows constant speed?,Straight line distance-time,Straight line distance-time,Curved distance-time,Vertical speed-time,Curved speed-time
9,PHY,2,57,Which graph shows constant speed?,Straight line distance-time,Vertical speed-time,Straight line distance-time,Horizontal distance-time,Curved distance-time
9,PHY,2,58,Which is an example of translatory motion?,Train on track,Tuning fork,Clock hand,Train on track,Spinning top
9,PHY,2,59,Which is an example of translatory motion?,Train on track,Train on track,Clock hand,Spinning top,Pendulum swing
9,PHY,2,60,Which quantity has both magnitude and direction?,Velocity,Distance,Temperature,Velocity,Mass
9,PHY,2,61,What is the unit of acceleration?,m/s²,s,m,m/s²,m/s
9,PHY,2,62,What is the unit of acceleration?,m/s²,km/h,m,m/s²,s
9,PHY,2,63,Which quantity has both magnitude and direction?,Velocity,Time,Velocity,Mass,Distance
9,PHY,2,64,Which motion is an example of vibratory motion?,Drumhead vibration,Swinging pendulum,Drumhead vibration,Car moving,Ball rolling
9,PHY,2,65,How do you calculate average speed?,Total distance / Total time,Total distance / Total time,Distance × Acceleration,Total time / Total distance,Initial speed × Time
9,PHY,2,66,Which of the following is a scalar quantity?,Speed,Acceleration,Speed,Displacement,Velocity
9,PHY,2,67,What is the unit of acceleration?,m/s²,s,km/h,m,m/s²
9,PHY,2,68,Which graph shows constant speed?,Straight line distance-time,Curved speed-time,Straight line distance-time,Vertical speed-time,Horizontal distance-time
9,PHY,2,69,Which of the following shows non-uniform acceleration?,Rocket launch,Stationary object,Object in free fall,Rocket launch,Circular motion
9,PHY,2,70,Which graph shows constant speed?,Straight line distance-time,Vertical speed-time,Curved speed-time,Straight line distance-time,Curved distance-time
9,PHY,2,71,What is the unit of acceleration?,m/s²,s,m/s²,m,km/h
9,PHY,2,72,Which of the following shows non-uniform acceleration?,Rocket launch,Object in free fall,Circular motion,Uniform speed car,Rocket launch
9,PHY,2,73,What does the area under a speed-time graph represent?,Distance,Distance,Velocity,Mass,Acceleration
9,PHY,2,74,Which of the following shows non-uniform acceleration?,Rocket launch,Rocket launch,Object in free fall,Uniform speed car,Circular motion
9,PHY,2,75,Which of the following shows non-uniform acceleration?,Rocket launch,Uniform speed car,Circular motion,Object in free fall,Rocket launch
9,PHY,2,76,How do you calculate average speed?,Total distance / Total time,Total distance / Total time,Total time / Total distance,Initial speed × Time,Time × Velocity
9,PHY,2,77,Which of the following is a scalar quantity?,Speed,Velocity,Acceleration,Force,Speed
9,PHY,2,78,Which of the following shows non-uniform acceleration?,Rocket launch,Circular motion,Stationary object,Object in free fall,Rocket launch
9,PHY,2,79,Which of the following is a scalar quantity?,Speed,Velocity,Speed,Acceleration,Displacement
9,PHY,2,80,Which graph shows constant speed?,Straight line distance-time,Horizontal distance-time,Curved distance-time,Straight line distance-time,Vertical speed-time
9,PHY,2,81,Which quantity has both magnitude and direction?,Velocity,Mass,Time,Velocity,Distance
9,PHY,2,82,What does the area under a speed-time graph represent?,Distance,Acceleration,Velocity,Distance,Mass
9,PHY,2,83,What is the approximate value of gravitational acceleration near Earth?,10 m/s²,8 m/s²,11 m/s²,10 m/s²,9 m/s²
9,PHY,2,84,Which of the following is a scalar quantity?,Speed,Force,Displacement,Velocity,Speed
9,PHY,2,85,How do you calculate average speed?,Total distance / Total time,Time × Velocity,Initial speed × Time,Distance × Acceleration,Total distance / Total time
9,PHY,2,86,What does the area under a speed-time graph represent?,Distance,Time,Mass,Distance,Acceleration
9,PHY,2,87,Which of the following is a scalar quantity?,Speed,Acceleration,Displacement,Velocity,Speed
9,PHY,2,88,Which motion is an example of vibratory motion?,Drumhead vibration,Car moving,Swinging pendulum,Ball rolling,Drumhead vibration
9,PHY,2,89,What is the unit of acceleration?,m/s²,m/s²,km/h,m/s,s
9,PHY,2,90,What is the unit of acceleration?,m/s²,s,m/s²,m/s,km/h
9,PHY,2,91,How do you calculate average speed?,Total distance / Total time,Total time / Total distance,Time × Velocity,Distance × Acceleration,Total distance / Total time
9,PHY,2,92,Which of the following is a scalar quantity?,Speed,Force,Speed,Velocity,Acceleration
9,PHY,2,93,Which motion is an example of vibratory motion?,Drumhead vibration,Ball rolling,Rotating fan,Swinging pendulum,Drumhead vibration
9,PHY,2,94,Which motion is an example of vibratory motion?,Drumhead vibration,Swinging pendulum,Drumhead vibration,Rotating fan,Car moving
9,PHY,2,95,What is the approximate value of gravitational acceleration near Earth?,10 m/s²,10 m/s²,8 m/s²,11 m/s²,9.8 m/s²
9,PHY,2,96,Which quantity has both magnitude and direction?,Velocity,Temperature,Distance,Velocity,Mass
9,PHY,2,97,How do you calculate average speed?,Total distance / Total time,Total distance / Total time,Initial speed × Time,Time × Velocity,Total time / Total distance
9,PHY,2,98,Which motion is an example of vibratory motion?,Drumhead vibration,Rotating fan,Ball rolling,Drumhead vibration,Swinging pendulum
9,PHY,2,99,Which quantity has both magnitude and direction?,Velocity,Distance,Time,Mass,Velocity
9,PHY,2,100,What is the unit of acceleration?,m/s²,m/s,km/h,m/s²,m
